X,Y
262.0,2.621439999999995e-07
263.0,1.0485759999999983e-06
264.0,6.553599999999987e-08
265.0,2.621439999999995e-07
266.0,2.621439999999995e-07
267.0,1.0485759999999983e-06
268.0,2.621439999999995e-07
269.0,1.0485759999999983e-06
270.0,1.0485759999999983e-06
271.0,4.194303999999995e-06
272.0,6.553599999999987e-08
273.0,2.621439999999995e-07
274.0,2.621439999999995e-07
275.0,1.0485759999999983e-06
276.0,2.621439999999995e-07
277.0,1.0485759999999983e-06
278.0,1.0485759999999983e-06
279.0,4.194303999999995e-06
280.0,2.621439999999995e-07
281.0,1.0485759999999983e-06
282.0,1.0485759999999983e-06
283.0,4.194303999999995e-06
284.0,1.0485759999999983e-06
285.0,4.194303999999995e-06
286.0,4.194303999999995e-06
287.0,1.6777215999999983e-05
288.0,6.553599999999987e-08
289.0,2.621439999999995e-07
290.0,2.621439999999995e-07
291.0,1.0485759999999983e-06
292.0,2.621439999999995e-07
293.0,1.0485759999999983e-06
294.0,1.0485759999999983e-06
295.0,4.194303999999995e-06
296.0,2.621439999999995e-07
297.0,1.0485759999999983e-06
298.0,1.0485759999999983e-06
299.0,4.194303999999995e-06
300.0,1.0485759999999983e-06
301.0,4.194303999999995e-06
302.0,4.194303999999995e-06
303.0,1.6777215999999983e-05
304.0,2.621439999999995e-07
305.0,1.0485759999999983e-06
306.0,1.0485759999999983e-06
307.0,4.194303999999995e-06
308.0,1.0485759999999983e-06
309.0,4.194303999999995e-06
310.0,4.194303999999995e-06
311.0,1.6777215999999983e-05
312.0,1.0485759999999983e-06
313.0,4.194303999999995e-06
314.0,4.194303999999995e-06
315.0,1.6777215999999983e-05
316.0,4.194303999999995e-06
317.0,1.6777215999999983e-05
318.0,1.6777215999999983e-05
319.0,6.710886399999994e-05
320.0,6.553599999999987e-08
321.0,2.621439999999995e-07
322.0,2.621439999999995e-07
323.0,1.0485759999999983e-06
324.0,2.621439999999995e-07
325.0,1.0485759999999983e-06
326.0,1.0485759999999983e-06
327.0,4.194303999999995e-06
328.0,2.621439999999995e-07
329.0,1.0485759999999983e-06
330.0,1.0485759999999983e-06
331.0,4.194303999999995e-06
332.0,1.0485759999999983e-06
333.0,4.194303999999995e-06
334.0,4.194303999999995e-06
335.0,1.6777215999999983e-05
336.0,2.621439999999995e-07
337.0,1.0485759999999983e-06
338.0,1.0485759999999983e-06
339.0,4.194303999999995e-06
340.0,1.0485759999999983e-06
341.0,4.194303999999995e-06
342.0,4.194303999999995e-06
343.0,1.6777215999999983e-05
344.0,1.0485759999999983e-06
345.0,4.194303999999995e-06
346.0,4.194303999999995e-06
347.0,1.6777215999999983e-05
348.0,4.194303999999995e-06
349.0,1.6777215999999983e-05
350.0,1.6777215999999983e-05
351.0,6.710886399999994e-05
352.0,2.621439999999995e-07
353.0,1.0485759999999983e-06
354.0,1.0485759999999983e-06
355.0,4.194303999999995e-06
356.0,1.0485759999999983e-06
357.0,4.194303999999995e-06
358.0,4.194303999999995e-06
359.0,1.6777215999999983e-05
360.0,1.0485759999999983e-06
361.0,4.194303999999995e-06
362.0,4.194303999999995e-06
363.0,1.6777215999999983e-05
364.0,4.194303999999995e-06
365.0,1.6777215999999983e-05
366.0,1.6777215999999983e-05
367.0,6.710886399999994e-05
368.0,1.0485759999999983e-06
369.0,4.194303999999995e-06
370.0,4.194303999999995e-06
371.0,1.6777215999999983e-05
372.0,4.194303999999995e-06
373.0,1.6777215999999983e-05
374.0,1.6777215999999983e-05
375.0,6.710886399999994e-05
376.0,4.194303999999995e-06
377.0,1.6777215999999983e-05
378.0,1.6777215999999983e-05
379.0,6.710886399999994e-05
380.0,1.6777215999999983e-05
381.0,6.710886399999994e-05
382.0,6.710886399999994e-05
383.0,0.0002684354559999999
384.0,6.553599999999987e-08
385.0,2.621439999999995e-07
386.0,2.621439999999995e-07
